1800	Generic Access
1801	Generic Attribute
1802	Immediate Alert
1803	Link Loss
1804	Tx Power
1805	Current Time Service
1806	Reference Time Update Service
1807	Next DST Change Service
1808	Glucose
1809	Health Thermometer
180a	Device Information
180d	Heart Rate
180e	Phone Alert Status Service
180f	Battery Service
1810	Blood Pressure
1811	Alert Notification Service
1812	Human Interface Device
1813	Scan Parameters
1814	Running Speed and Cadence
1815	Automation IO
1816	Cycling Speed and Cadence
1818	Cycling Power
1819	Location and Navigation
181a	Environmental Sensing
181b	Body Composition
181c	User Data
181d	Weight Scale
181e	Bond Management Service
181f	Continuous Glucose Monitoring
1820	Internet Protocol Support Service
1821	Indoor Positioning
1822	Pulse Oximeter Service
1823	HTTP Proxy
1824	Transport Discovery
1825	Object Transfer Service
1826	Fitness Machine
1827	Mesh Provisioning Service
1828	Mesh Proxy Service
1829	Reconnection Configuration
183a	Insulin Delivery
183b	Binary Sensor
183c	Emergency Configuration
183e	Physical Activity Monitor
1843	Audio Input Control
1844	Volume Control
1845	Volume Offset Control
1846	Coordinated Set Identification
1847	Device Time
1848	Media Control
1849	Generic Media Control
184a	Constant Tone Extension
184b	Telephone Bearer
184c	Generic Telephone Bearer
184d	Microphone Control
184e	Audio Stream Control
184f	Broadcast Audio Scan
1850	Published Audio Capabilities
1851	Basic Audio Announcement
1852	Broadcast Audio Announcement
1853	Common Audio
1854	Hearing Access
1855	Telephony and Media Audio
1856	Public Broadcast Announcement
1857	Electronic Shelf Label
1858	Gaming Audio
1859	Mesh Proxy Solicitation
185b	Ranging Service (RAS)
fcb2	Location Enabled Advertisement Service
fd0d	Blecon Advertising Service
fd6f	Exposure Notification Service
fe0f	Signify Netherlands B.V. (formerly Philips Lighting) Service
fe2c	Fast Pair Service
fe59	Secure DFU Service
feaa	Eddystone
febb	File Transfer Service by Adafruit
