signature	kind	mechanism	meaning	source
00001531-1212-efde-1523-785feabcd123	characteristic_uuid	nordic_legacy_dfu	Legacy DFU control point. In application mode, writing 01 04 (start DFU, application image) reboots into the bootloader.	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/LegacyButtonlessDfuImpl.java
00001532-1212-efde-1523-785feabcd123	characteristic_uuid	nordic_legacy_dfu	Legacy DFU packet (image data).	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/LegacyDfuImpl.java
00001534-1212-efde-1523-785feabcd123	characteristic_uuid	nordic_legacy_dfu	Legacy DFU version.	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/LegacyDfuImpl.java
00010203-0405-0607-0809-0a0b0c0d2b12	characteristic_uuid	telink_ota	Telink OTA data: 2-byte LE index + 16 data bytes + CRC-16; index 0xff00-0xff06 are commands (0xff01 start, 0xff02 end). Served by the running application.	https://android.googlesource.com/platform/hardware/telink/atv/refDesignRcu/+/refs/heads/master/stack/ble/service/ota/ota.h
8ec90001-f315-4f60-9fb8-838830daea50	characteristic_uuid	nordic_secure_dfu	Secure DFU control point (bootloader).	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/SecureDfuImpl.java
8ec90002-f315-4f60-9fb8-838830daea50	characteristic_uuid	nordic_secure_dfu	Secure DFU packet (bootloader).	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/SecureDfuImpl.java
8ec90003-f315-4f60-9fb8-838830daea50	characteristic_uuid	nordic_secure_dfu	Buttonless DFU without bonds (application). Enable indications, write 01; the reply is 20 01 01 and the device reboots into the bootloader at address+1.	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/ButtonlessDfuWithoutBondSharingImpl.java
8ec90004-f315-4f60-9fb8-838830daea50	characteristic_uuid	nordic_secure_dfu	Buttonless DFU with bond sharing (application). Same opcodes as 8ec90003; the bootloader keeps the device's address.	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/ButtonlessDfuWithBondSharingImpl.java
984227f3-34fc-4045-a5d0-2c581f81a153	characteristic_uuid	silabs_ota	Silicon Labs OTA data. Present only in AppLoader (update mode), not in the application's GATT.	https://www.silabs.com/documents/public/application-notes/an1086-gecko-bootloader-bluetooth.pdf
da2e7828-fbce-4e01-ae9e-261174997c48	characteristic_uuid	mcuboot_smp	MCUmgr SMP characteristic: requests by write-without-response, responses by notification. Served by the running application.	https://docs.zephyrproject.org/latest/services/device_mgmt/smp_transport.html
f000ffc1-0451-4000-b000-000000000000	characteristic_uuid	ti_oad	TI OAD image identify.	https://software-dl.ti.com/lprf/simplelink_cc26x2_latest/docs/ble5stack/ble_user_guide/doxygen/ble/html/group___o_a_d___s_v_c___u_u_i_d_s.html
f000ffc2-0451-4000-b000-000000000000	characteristic_uuid	ti_oad	TI OAD image block.	https://software-dl.ti.com/lprf/simplelink_cc26x2_latest/docs/ble5stack/ble_user_guide/doxygen/ble/html/group___o_a_d___s_v_c___u_u_i_d_s.html
f000ffc3-0451-4000-b000-000000000000	characteristic_uuid	ti_oad	TI OAD image count (deprecated in BLE5-Stack OAD).	https://software-dl.ti.com/lprf/simplelink_cc26x2_latest/docs/ble5stack/ble_user_guide/doxygen/ble/html/group___o_a_d___s_v_c___u_u_i_d_s.html
f000ffc4-0451-4000-b000-000000000000	characteristic_uuid	ti_oad	TI OAD image status (deprecated in BLE5-Stack OAD).	https://software-dl.ti.com/lprf/simplelink_cc26x2_latest/docs/ble5stack/ble_user_guide/doxygen/ble/html/group___o_a_d___s_v_c___u_u_i_d_s.html
f000ffc5-0451-4000-b000-000000000000	characteristic_uuid	ti_oad	TI OAD extended control.	https://software-dl.ti.com/lprf/simplelink_cc26x2_latest/docs/ble5stack/ble_user_guide/doxygen/ble/html/group___o_a_d___s_v_c___u_u_i_d_s.html
f7bf3564-fb6d-4e53-88a4-5e37e0326063	characteristic_uuid	silabs_ota	Silicon Labs OTA control. In the application, writing 00 reboots into AppLoader. In AppLoader, 00 starts the upload, 03 finishes it and 04 requests a disconnect.	https://www.silabs.com/documents/public/application-notes/an1086-gecko-bootloader-bluetooth.pdf
AppLoader	local_name	silabs_ota	Default AppLoader name when the application stored no OTA name. The address normally stays the same.	https://www.silabs.com/documents/public/application-notes/an1086-gecko-bootloader-bluetooth.pdf
DfuTarg	local_name	nordic_secure_dfu	nRF5 SDK bootloader default name, used by legacy bootloaders too. Without bond sharing it advertises at address+1.	https://github.com/particle-iot/nrf5_sdk/blob/master/examples/dfu/secure_bootloader/pca10056_ble/config/sdk_config.h
00001016-d102-11e1-9b23-00025b00a5a5	service_uuid	csr_ota	CSR/Qualcomm OTA update service.	https://github.com/WebBluetoothCG/registries/issues/20
00001530-1212-efde-1523-785feabcd123	service_uuid	nordic_legacy_dfu	Nordic legacy DFU (nRF5 SDK 11 and earlier). Present in the application too when it supports buttonless entry.	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/LegacyDfuImpl.java
0000fe59-0000-1000-8000-00805f9b34fb	service_uuid	nordic_secure_dfu	Nordic Secure DFU (SIG-assigned to Nordic). The application carries it for buttonless entry, and the bootloader serves it.	https://github.com/NordicSemiconductor/Android-DFU-Library/blob/main/lib/dfu/src/main/java/no/nordicsemi/android/dfu/SecureDfuImpl.java
00010203-0405-0607-0809-0a0b0c0d1912	service_uuid	telink_ota	Telink OTA, served in place by the running application.	https://github.com/pvvx/pvvx.github.io/blob/master/ATC_MiThermometer/TelinkMiFlasher.html
1d14d6ee-fd63-4fa1-bfa4-8f47b42119f0	service_uuid	silabs_ota	Silicon Labs Gecko OTA (AppLoader), in both the application and update mode.	https://www.silabs.com/documents/public/application-notes/an1086-gecko-bootloader-bluetooth.pdf
8d53dc1d-1db7-4cd3-868b-8a527460aa84	service_uuid	mcuboot_smp	MCUmgr SMP (Zephyr / nRF Connect SDK), served in place by the running application.	https://docs.zephyrproject.org/latest/services/device_mgmt/smp_transport.html
f000ffc0-0451-4000-b000-000000000000	service_uuid	ti_oad	TI Over-the-Air Download.	https://software-dl.ti.com/lprf/simplelink_cc26x2_latest/docs/ble5stack/ble_user_guide/doxygen/ble/html/group___o_a_d___s_v_c___u_u_i_d_s.html
